keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,congressional_district,state_country_incorporation,match
"ACUITYnano, LLC","ACUITYNANO, LLC",CW25TE29MQD3,6WLV3,"10300 Strathmore Hall ST APT 408,Rockville, Maryland,20852-6680, United States","5425 Wisconsin Avenue,Suite 600,Chevy Chase , Maryland,20815, United States",https://www.acuitynano.com/,"May 6, 2013","Roland Probst, Dr.","Roland Probst, Dr.","Maryland, United States",Maryland 08,0
CDRD,INTERNATIONAL CENTER FOR LIVING AQUATIC RESOURCES MANAGEMENT,YU24LHCA8WL9,Y0325,"WORLDFISH, Jalan Batu Maung,Batu Maung,Bayan Lepas,11960, Malaysia","WORLDFISH, Jalan Batu Maung,Batu Maung,Bayan Lepas,11960, Malaysia",,"Jan 1, 1977",ESSAM YASSIN MOHAMMED,"Su Ching Tan, Grants and Contracts Manager","(blank), Philippines",Not Applicable,0
Paterson Aerospace Systems Corp.,PATERSON AEROSPACE SYSTEMS CORP,DGCPBJ9UAE21,9H2E6,"10708 Norbourne Farm RD,1401,Upper Marlboro, Maryland,20772-4698, United States","10708 Norbourne Farm RD,Upper Marlboro, Maryland,20772, United States",https://patersonaerospace.com/,"Jul 7, 2022",Kaylon Paterson,Kaylon Paterson,"Delaware, United States",Maryland 05,0
TSP Solutions LLC,"TSP SOLUTIONS, LLC",LJXRYQ3A78W7,8GUN1,"7057 Production CT,Florence, Kentucky,41042-3029, United States","7057 Production Court,Florence, Kentucky,41042, United States",https://www.tspsolutions.biz/,"Mar 1, 2009","Charles Mcgregor, President","Charles Mcgregor, President","Kentucky, United States",Kentucky 04,0
TSP Solutions LLC,"TSP SOLUTIONS, LLC",UVDHREGFWHN6,01Q61,"4801 Lincoln RD NE,Albuquerque, New Mexico,87109-2304, United States","4801 Lincoln RD NE,Albuquerque, New Mexico,87109-2304, United States",,"Jun 11, 2024",Tim Brooks,Tim Brooks,"New Mexico, United States",New Mexico 01,0
TSP Solutions LLC,TEK SECURITY PRO LLC,ERJ3GQQKMCL6,9W9U7,"813 Rivecon AVE,Orlando, Florida,32825-7323, United States","1910 Dartmouth DR,Durham, North Carolina,27705, United States",,"Jan 15, 2023",Brian Blissett,Brian Blissett,"Florida, United States",Florida 10,0
1eq Inc.,JME LTD,NBNLKQ5FHEX6,U07Z9,"Electron House,Old Nelson Street,Lowestoft,NR32 1EQ, United Kingdom","Electron House,Old Nelson Street,Lowestoft, Suffolk,NR32 1EQ, United Kingdom",https://www.jme.co.uk/,"Aug 26, 1986","JAMES DENTON, MR",JAMES DENTON,"(blank), United Kingdom",Not Applicable,0
Obeidi LLC,OBEIDI LLC,JFLMZN5WVUN8,7LTH9,"1742 Abbey Oak DR,Vienna, Virginia,22182-1901, United States","8225 Honeysuckle RD,Manassas, Virginia,20112, United States",,"May 2, 2011",Aaron McLaughlin,Aaron McLaughlin,"Virginia, United States",Virginia 11,0
"Oculi, Inc","OCULI SOLUTIONS, INC",JM3LE9DJ9DN6,7TCH0,"14311 Reese BLVD W STE 2, A2-410,Huntersville, North Carolina,28078-7954, United States","14311 Reese BLVD W STE 2, A2-410,Huntersville, North Carolina,28078-7954, United States",,"Sep 19, 2016","Karen Johnson, Mrs.","Karen Johnson, Mrs.","North Carolina, United States",North Carolina 12,0
"Oculi, Inc",OCULI ACUTI CONSULTING LLC,HDXFBUG6PKG6,952V5,"800 Broadway Unit N,Haverhill, Massachusetts,01832-1539, United States","P.O. 8106,Ward Hill, Massachusetts,01835, United States",,"Oct 9, 2020","Kevin J Dorr, Principal","Kevin J Dorr, Principal","Massachusetts, United States",Massachusetts 03,0
"Cynthia Rumph, LLC",TELE-SYS INC,DLA7G55K9NK7,1B3R8,"673 Emory Valley RD,Oak Ridge, Tennessee,37830-7766, United States","673 Emory Valley Road,Oak Ridge, Tennessee,37830-7766, United States",http://www.accessam.com/,"Feb 3, 1982","Curtis Jamison, President","Curtis Jamison, President","Tennessee, United States",Tennessee 03,0
Tiffany,"PELICAN AMBULANCE, LLC",MJRUXN2T5M44,9RW43,"4323 Division ST STE 100,Metairie, Louisiana,70002-3179, United States","4323 Division ST STE 100,Metairie, Louisiana,70002-3179, United States",,"Apr 10, 2023",Tiffany A Brinston,Tiffany A Brinston,"Louisiana, United States",Louisiana 01,0
Tiffany,"IMMANUEL DESIGNS, LLC",JXYEL6NHGKT9,5JT95,"245 Duval DR,Alpharetta, Georgia,30009-4915, United States","245 Duval DR,Alpharetta, Georgia,30009-4915, United States",http://www.immanueldesignsllc.com/,"Apr 28, 2009",TIFFANY L WHITENER,TIFFANY L WHITENER,"Georgia, United States",Georgia 06,0
Tiffany,"ACHIEVEMENT CONSULTING & TRAINING, INC.",ER1FSV4KFLE5,518G5,"5269 Algonquin RD,Indian Hills, Colorado,80454-5022, United States","PO Box 306,Indian Hills, Colorado,80454-0306, United States",http://www.ready2act.com/,"Mar 1, 2004",TIFFANY DAHLBERG,TIFFANY DAHLBERG,"Colorado, United States",Colorado 07,0
Tiffany,"BC DESIGN, LLC",RJMGSW2TH3E6,(blank),"3029 Stony Brook DR STE 110,Raleigh, North Carolina,27604-3790, United States","3029 Stony Brook DR STE 110,Raleigh, North Carolina,27604-3790, United States",https://teemark.com/,"May 10, 2022",Tiffany Clemency,Tiffany Clemency,"North Carolina, United States",North Carolina 02,0
Tiffany,FG ENTERPRISES L.L.C.,V77FA6KNDFU5,85F22,"20661 Exchange ST,Ashburn, Virginia,20147-3231, United States","20661 Exchange ST,Ashburn, Virginia,20147-3231, United States",,"Sep 9, 2014",Tiffany Faucette,Tiffany Faucette,"Virginia, United States",Virginia 10,0
Luella,NELSON LUELLA,KM9KLQAGMPZ7,1XY09,"4306 NE Mason ST,Portland, Oregon,97218-1737, United States","4824 NE 42ND AVENUE, #159,Portland, Oregon,97218-1661, United States",,"Sep 1, 1986","LUELLA E NELSON, Ms.","LUELLA E NELSON, Ms.","Oregon, United States",Oregon 03,0
Luella,DALTON GARDENS IRRIGATION,MKM1PPG7NFA8,9Q252,"6360 N 4TH ST,Dalton Gardens, Idaho,83815-9254, United States","6360 N 4TH ST,Dalton Gardens, Idaho,83815-9254, United States",,"Jun 17, 1902","LUELLA V FRANKLIN, OFFICE MANAGER","LUELLA V FRANKLIN, OFFICE MANAGER","(blank), (blank)",Idaho 01,0
Luella,"MT. OLIVE HISTORIC RESTORATION SOCIETY, INC.",C1C3H1YM93V8,9SRD0,"941336 Old Nassauville RD,Fernandina Beach, Florida,32034-7141, United States","Post Office Box 209,Yulee, Florida,32041, United States",,"Oct 26, 2016","Luella Rhodes Blount, Secretary","Luella Rhodes Blount, Secretary","Florida, United States",Florida 04,0
Luella,"COLUMBUS WELLNESS CENTER OUTREACH & PREVENTION PROJECT, INC.",C7MHT7BARUL7,31RE0,"3575 Macon RD STE 5,Columbus, Georgia,31907-8224, United States","3575 Macon RD STE 5,Columbus, Georgia,31907-8224, United States",,"Jul 30, 1995","LUELLA L. RHODES, Director","LUELLA L. RHODES, Director","Georgia, United States",Georgia 02,0
gaja,INSTITUT ZA ANTROPOLOGIJU,HF7TM8LNVKS7,A00JB,"Ljudevita Gaja 32,Zagreb,10000, Croatia","Ljudevita Gaja 32,Zagreb,10000, Croatia",,"Sep 27, 1991","Jelena Sarac, Dr.",Ured Instituta,"(blank), Croatia",Not Applicable,0
gaja,LUC,V3JZZNLGVT53,A0JKB,"Ljudevita Gaja 44,Zagreb,10000, Croatia","Ljudevita Gaja 44,Zagreb, Zagreb,10000, Croatia",,"Aug 20, 2014",Ruzica Vuskovic,Ruzica Vuskovic,"(blank), Croatia",Not Applicable,0
gaja,"SVEUCILISTE U OSIJEKU, EKONOMSKI FAKULTET U OSIJEKU",XT7DDMD1E7V4,A0JYB,"Trg Ljudevita Gaja 7,Osijek,31000, Croatia","Trg Ljudevita Gaja 7,Osijek,31000, Croatia",,"Jun 14, 1961",Katica Križanović,Katica Križanović,"(blank), Croatia",Not Applicable,0
gaja,NEPAL GAJA DEVELOPMENT FOUNDATION,E2Q3ENL6K8A1,SBWA8,"Purano Cinema Road,Baglung,(blank), Nepal","Purano Cinema Road,Baglung,(blank), Nepal",,"Sep 25, 1993","Pramananda Kandel, Executive Director","Pramananda Kandel, Executive Director","(blank), Nepal",Not Applicable,0
Globally Unified Air Quality Inc.,GLOBALLY UNIFIED AIR QUALITY INC.,H8MBFYWNHUD8,97LH5,"59 Hazelwood LN,Grand Island, New York,14072-3318, United States","3400 Prospect ST NW,Washington, District Of Columbia,20007, United States",,"Feb 13, 2020","Anna Giaquinto, Co-Founder & CEO","Anna Giaquinto, Co-Founder & CEO","Delaware, United States",New York 26,0
Deeper Learning LLC,DEEPER LEARNING & DEVELOPMENT ASSOCIATES,V33LCECLBKS1,8CEJ0,"3300 San Juan AVE,APT 208,Port Townsend, Washington,98368-5058, United States","3300 San Juan AVE APT 208,Port Townsend, Washington,98368-5058, United States",,"Sep 5, 2018","Timothy S Hawley, Executive Director","Timothy S Hawley, Executive Director","Washington, United States",Washington 06,0
RELAI,"RELAI, INC.",RQY1RHCGQBV7,9XJ17,"7600 Newmarket DR,Bethesda, Maryland,20817-6624, United States","7600 Newmarket Drive,Bethesda, Maryland,20817, United States",,"Mar 22, 2024",Soheil Feizi,Soheil Feizi,"Delaware, United States",Maryland 08,0
Dmasters,"DKI RESTORATION, LLC",DFXCT3KHGWN7,80LD9,"1720 W Division ST STE 48,Chicago, Illinois,60622-3212, United States","1720 W Division ST STE 48,Chicago, Illinois,60622-3212, United States",https://dkiservices.com/,"Dec 21, 2010",Katherine Helzer,Lee Shoop,"Delaware, United States",Illinois 05,0
"Dockshare, Inc",GEL-DEL TECHNOLOGIES INC,JMY6LVMLMT55,51SX8,"1000 Westgate DR STE 127,Saint Paul, Minnesota,55114-8658, United States","1000 Westgate Drive,Suite 127,Saint Paul, Minnesota,55114-8658, United States",https://www.gel-del.com/,"Jan 1, 1999","DAVID MASTERS, President",DAVE MASTERS,"Minnesota, United States",Minnesota 04,0
"Dockshare, Inc",ARTIFICIAL CELL TECHNOLOGIES INC,FA75DFVZ55D1,46K66,"5 Science Park STE 13,New Haven, Connecticut,06511-1989, United States","5 Science Park,Suite 13,New Haven, Connecticut,06511-1989, United States",http://www.artificialcelltech.com/,"Jan 1, 2005","DONALD S MASTERS, CEO",DONALD Masters,"Delaware, United States",Connecticut 03,0
jeffrey cummings,"HARDSHELL LABS, INC.",URCJPUWW2G14,90DU2,"61313 Onaga Trail,Joshua Tree, California,92252-3181, United States","2647 Gateway Road,Suite 105-140,Carlsbad, California,92009, United States",https://www.hardshelllabs.com/,"Jul 24, 2014","Jeffrey Cummings, CFO","Jeffrey Cummings, CFO","Delaware, United States",California 23,0
NAVAIR,NAVAIR-34 LLC,HT5AQ5GUJ924,9VM20,"19208 Gunnerfield LN,Germantown, Maryland,20874-1553, United States","19208 Gunnerfield Lane,Germantown, Maryland,20876, United States",,"Dec 13, 2022",Karl J Dixon,Karl J Dixon,"Maryland, United States",Maryland 06,0
NAVAIR,NAVAIR SUPPLY LLC,LXHRELTLDYL8,801F8,"29660 128TH CT SE,Auburn, Washington,98092-3234, United States","29660 128TH CT SE,Auburn, Washington,98092-3234, United States",,"Nov 14, 2017",Raj Sarin,"Raj Sarin, Vice President","Washington, United States",Washington 08,0
NAVAIR,"WISE ENGINEERING CONSULTING, LLC",C3BSKMFML264,7URG4,"663 Good Shepherd WAY,Owings, Maryland,20736-3340, United States","663 Good Shepherd WAY,Owings, Maryland,20736-3340, United States",https://www.wiseengineeringconsulting.com/,"Mar 4, 2017",michael mehls,michael mehls,"Maryland, United States",Maryland 05,0
Mitre,QENDRA PER MBROJT. MJEDIS. E ZHVILLIM TE QENDRUSHEM,QFLPW49TTKR3,A0CNH,"Rruga \sul Alla\ ND. 1,Hyrja 32, APT. 24,Tirane,(blank), Albania","RR. Sul Alla,Tirane,1000, Albania",,"Feb 14, 2020",Ola Mitre,Ola Mitre,"(blank), (blank)",Not Applicable,0
Mitre,WIRE WORKS EDM INC.,LCZDRS5M34R9,9HL71,"2247 S Grand AVE,Santa Ana, California,92705-5236, United States","2247 S Grand AVE,Santa Ana, California,92705-5236, United States",https://wireworksedm.com/,"Feb 25, 2015","Arturo Mitre, Owner","Arturo Mitre, Owner","California, United States",California 46,0
LifeGene-Biomarks,LIFEGENE- BIOMARKS INC,GGR9ABCTBGG5,7RTK5,"1612 AVE Ponce De Leon,San Juan, Puerto Rico,00909-1833, United States","1612 Avenida Ponce De Leon,First Floor,San Juan, Puerto Rico,00909-1833, United States",,"Oct 5, 2009",Rafael Guerrero-Preston,Rafael Guerrero-Preston,"Puerto Rico, United States",Puerto Rico 98,0
Mynd,"MYND ANALYTICS, INC.",XBPSY981JDF1,7XMP7,"26522 La Alameda STE 290,Mission Viejo, California,92691-8579, United States","26522 La Alameda STE 290,Mission Viejo, California,92691-8579, United States",,"Jan 11, 2000",Vivian Le,Stewart Navarre,"Delaware, United States",California 45,0
Mynd,MYND MATCH INCORPORATED,GX42GBK3ABE7,82M69,"333 S Wabash AVE STE 2700,Chicago, Illinois,60604-4129, United States","333 S. Wabash,STE. 2700,Chicago, Illinois,60604, United States",,"May 23, 2016","Excell Lewis, President","Excell Lewis, President","Illinois, United States",Illinois 07,0
Hillary Holmes,HARMONYUS MYND LLC,PY6JA2UN19D3,8EK42,"22850 Westwind DR,Richton Park, Illinois,60471-2552, United States","833 W. 15TH Place,Unit 702,Chicago, Illinois,60608, United States",,"Apr 1, 2019","Dakeda R Horton, Owner_Manager","Dakeda R Horton, Owner_Manager","Illinois, United States",Illinois 02,0
Error Corp.,KREMM ENTERPRISES,UEJYUL4TWYS5,60KA3,"9230 Maxwell WAY,Dublin, Ohio,43017-8879, United States","9230 Maxwell WAY,Dublin, Ohio,43017-8879, United States",http://www.adaptiveoutdoorsman.com/,"Apr 30, 2007",RENEE Error,MICHAEL Error,"Ohio, United States",Ohio 12,0
Error Corp.,INTERNATIONAL SPHERES LLC,MJPVSRHDMJZ7,9XXM6,"2543 Ravenhill DR STE E,Fayetteville, North Carolina,28303-5459, United States","2543 Ravenhill DR STE E,Fayetteville, North Carolina,28303-5459, United States",,"Sep 1, 2020","Samuel L. Hayes, Mr.","Samuel L. Hayes, Mr.","North Carolina, United States",North Carolina 07,0
Error Corp.,BFE NACHRICHTENTECHNIK GMBH ZWEIBRÜCKEN,WE5LSUVWVYS1,DA378,"An Der Fahrt 1,Mainz, Rheinland-pfalz,55124, Germany","An Der Fahrt 1,Mainz, Rheinland-pfalz,55124, Germany",,"Sep 20, 1976",Stephan Mohr,Stephan Mohr,"(blank), Germany",Not Applicable,0
"X-wave Innovations, Inc",MICHAEL GREAVES ASSOCIATES (B'DOS) INC.,JKDERHR4HZY1,SDSC8,"Carmichael HOUSE, Carmichael,St George,(blank), Barbados","Carmichael HOUSE, CARMICHAEL, ST. George,Bridgetown, St George,BB19135, Barbados",,"May 28, 2001","Dale R Stoute, Mr.","Dale R Stoute, Mr.","(blank), Barbados",Not Applicable,0
"X-wave Innovations, Inc","CAPITAINER, INC",LZP2NB4JLLX3,9UEN3,"1224 Greenwich AVE,Warwick, Rhode Island,02886-4507, United States","1224 Greenwich AVE,Warwick, Rhode Island,02886-4507, United States",https://www.capitainer.com/miqro,"Oct 31, 2023","Sam Grossmann, Officer","Sam Grossmann, Officer","Delaware, United States",Rhode Island 02,0
,"BADGETT, NAN",M79RN9VAGXH5,8DSR8,"4540 E Coronado Ridge LN,Tucson, Arizona,85739-8796, United States","PO Box 8666,Tucson, Arizona,85738, United States",https://www.dbawordability.com/,"Jul 1, 1992",Nan Badgett,Nan Badgett,"Arizona, United States",Arizona 06,0
,FIONN & CO LLC,R362HUUJHH74,8XJ09,"215 Navajo CT,Morganville, New Jersey,07751-4617, United States","215 Navajo CT,Morganville, New Jersey,07751-4617, United States",,"Nov 9, 2020",Aishwarya Sharma,Nan Fisher,"Delaware, United States",New Jersey 03,0
,PITTSBURGH CUSTOM CERAMICS,L9SXNLND6KE9,77FP0,"2703 Tilbury AVE,Pittsburgh, Pennsylvania,15217-2516, United States","2703 Tilbury AVE,Pittsburgh, Pennsylvania,15217-2516, United States",,"Jun 26, 2013","Nan Cappo, Owner","Nan Cappo, Owner","Pennsylvania, United States",Pennsylvania 14,0
,"BRANDABILITY, INC.",FAL4FJDASE94,3G2G4,"10501 Indiana AVE,Lubbock, Texas,79423-5179, United States","10501 Indiana,Lubbock, Texas,79423-5179, United States",http://www.brandability.com/,"Oct 1, 1992","Nan Brizendine, Controller","Nan Brizendine, Controller","Texas, United States",Texas 19,0
,URBANCARE LLC,FXNVPDQF2119,85WK1,"18 Loraine ST,Portland, Maine,04103-4230, United States","18 Loraine ST,Portland, Maine,04103-4230, United States",https://www.sidewalkbuttler.com/,"Jul 3, 2016",Nan McLaughlin,Nan McLaughlin,"Maine, United States",Maine 01,0
Dost,"MITIGATION RESOURCES, LLC",VMGZHR5BTLH7,5VFY1,"302 Mohawk RD,Clermont, Florida,34715-7434, United States","4327 S HWY 27,#602,Clermont, Florida,34711, United States",,"Sep 21, 2001",Elizabeth Dost,Elizabeth Dost,"Florida, United States",Florida 11,0
"ReVacc, Inc.","SHUKER, NAN R",UDQYX36MA9A5,51FV7,"5220 Loughboro RD NW,Washington, District Of Columbia,20016-2634, United States","5220 Loughboro RD NW,Washington, District Of Columbia,20016-2634, United States",,"Feb 2, 2004","Nan R. Shuker, Owner",Nan R. Shuker,"District Of Columbia, United States",District Of Columbia 98,0
"ReVacc, Inc.",KIDS IN FOCUS,MFY3J3BEDGV5,8CQP4,"4455 E Camelback RD STE A215,Phoenix, Arizona,85018-2897, United States","3104 E Camelback RD,#104,Phoenix, Arizona,85016, United States",,"Oct 20, 2014","Nan McCoy, Executive Director","Nan McCoy, Executive Director","Arizona, United States",Arizona 01,0
Carnegie Mellon University,CHABAD OF CARNEGIE MELLON UNIVERSITY INC,Y6ZBZGJ9RKH7,7VHV1,"5120 Beeler ST,Pittsburgh, Pennsylvania,15217-1002, United States","5120 Beeler ST,Pittsburgh, Pennsylvania,15217-1002, United States",https://www.chabadofcmu.com/,"Jun 1, 2009","Shlomo S Silverman, Rabbi","Shlomo S Silverman, Rabbi","Pennsylvania, United States",Pennsylvania 12,0
Carnegie Mellon University,CARNEGIE MELLON UNIVERSITY,U9C6D6YR7P69,53G74,"4301 Wilson BLVD STE 200,Arlington, Virginia,22203-1867, United States","5000 Forbes AVE,Pittsburgh, Pennsylvania,15213-3890, United States",https://sei.cmu.edu/,"Feb 21, 1996","Michael A. Wright, Senior Director of Contracts","Michael A. Wright, Senior Director of Contracts","Pennsylvania, United States",Virginia 08,0
Carnegie Mellon University,CARNEGIE MELLON UNIVERSITY,KZV2XNZZN3A8,5Y3F6,"4304 Valley AVE,APT G,Pleasanton, California,94566-5552, United States","5000 Forbes AVE,Pittsburgh, Pennsylvania,15213-3890, United States",http://www.cmu.edu/,"Jan 1, 1900",Kristen Bridges,Julia Dzurino,"Pennsylvania, United States",California 14,0
Carnegie Mellon University,CARNEGIE MELLON UNIVERSITY,MJ5BDF8KMQ43,5Y3K5,"5000 Forbes AVE,Pittsburgh, Pennsylvania,15213-3815, United States","5000 Forbes Avenue,Pittsburgh, Pennsylvania,15213-3890, United States",,"Jan 1, 1990",Kristen S Jackson,Christine Bedillion,"Pennsylvania, United States",Pennsylvania 14,0
BSS Technologies Inc.,BSS TECHNOLOGIES INC,XTLVMBBNQ877,9CME3,"7307 Baltimore AVE,Takoma Park, Maryland,20912-4137, United States","7307 Baltimore AVE,Takoma Park, Maryland,20912-4137, United States",,"Sep 18, 2016","William Sandberg, President","William Sandberg, President","Maryland, United States",Maryland 08,0
Sanchez Engineering Services,"SANCHEZ ENGINEERING SERVICES, LLC",R31DNDLJLB69,83WU0,"1028 Baldwin Cove WAY,Orlando, Florida,32803-4413, United States","1028 Baldwin Cove WAY,Orlando, Florida,32803-4413, United States",https://www.sesbimcoordination.com/,"Mar 27, 2017","Danny Sanchez, President","Danny Sanchez, President","Florida, United States",Florida 07,0
PZA innovation LLC,"BARTER BLACK, LLC",QM76NANPRM73,91F21,"10127 Prince PL APT 201,Upper Marlboro, Maryland,20774-1126, United States","10127 Prince PL,APT 201,Upper Marlboro, Maryland,20774-1126, United States",https://www.ibarterblack.com/,"Jan 1, 2021","Nicole J Murphy, CEO","Nicole J Murphy, CEO","Maryland, United States",Maryland 04,0
Time Systems LLC,"SALE TIME SYSTEMS, LLC",PVWEEX7Z4X35,(blank),"6877 E 12500 N,Spring City, Utah,84662-7842, United States","PO Box 531,Spring City, Utah,84662, United States",https://www.saletimesystems.com/,"Jan 1, 2017","Adam Inglish, President","Adam Inglish, President","Utah, United States",Utah 04,0
Renalert,RENALERT LLC,NEJBPNN6M488,7KW45,"1812 Ashland AVE, Ashland BUILDING, 1ST FLOOR, Suite 100,Baltimore, Maryland,21205-1506, United States","1812 Ashland AVE, Ashland Building,1ST FLOOR, Suite 100,Baltimore, Maryland,21205-1506, United States",,"Feb 29, 2016","Aaron Chang, Mr.","Aaron Chang, Mr.","Delaware, United States",Maryland 07,0
ARL,"PENNSYLVANIA STATE UNIVERSITY, THE",FMRJAGEKALE5,6D012,"225 Science Park RD,State College, Pennsylvania,16803-2213, United States","225 Science Park RD,State College, Pennsylvania,16803-2213, United States",,"Jan 1, 1945","James Dromazos, Manager","Melissa Etters, Deputy Director of Security","Pennsylvania, United States",Pennsylvania 15,0
ARL,ARL INSURANCE AGENCY LLC,ZJ2YLWCDJSV6,9REN0,"6071 Santa Maria DR,Winston Salem, North Carolina,27106-9764, United States","6071 Santa Maria DR,Winston Salem, North Carolina,27106, United States",http://arlinsureall.com/,"Oct 13, 2020","Anthanette Petree, CEO","Anthanette Petree, CEO","North Carolina, United States",North Carolina 05,0
ComSol Inc.,"818 SOLUTIONS, LLC",H3EQB7YKZME6,9WWB6,"31411 Sandpiper Creek DR,Hockley, Texas,77447-5504, United States","12320 BARKER-CYPRESS RD,Suite 600-1063,Cypress, Texas,77429, United States",,"Sep 17, 2021",Jason Fortenberry,Jason Fortenberry,"Texas, United States",Texas 08,0
ComSol Inc.,"COMSOL, INC.",N3FKP2UJ5C21,1RCX0,"100 District AVE,Burlington, Massachusetts,01803-5042, United States","100 District Avenue,Burlington, Massachusetts,01803, United States",http://www.comsol.com/,"Nov 1, 1999",Susanne Kimball,Marci Baker,"Massachusetts, United States",Massachusetts 06,0
SMAART,"SMAART MEDICAL SYSTEMS, INC.",X6EFNEMMLLT5,50RQ7,"14330 Midway RD,STE 118,Dallas, Texas,75244-3526, United States","14330 Midway RD,STE 118,Dallas, Texas,75244-3526, United States",,"May 30, 2003",KIM Terry,PETER Foster,"Texas, United States",Texas 24,0
SMAART,SMAART LLC,XP4QLMLYC9B9,9E5Y4,"2319 N Andrews AVE,Fort Lauderdale, Florida,33311-3924, United States","2319 N Andrews AVE,Fort Lauderdale, Florida,33311, United States",https://www.smaartcompany.com/,"Feb 20, 2018","Ray Dominguez, CEO","Gustavo Gonzalez, Operations Manager","Florida, United States",Florida 23,0
SMAART,SMAART ENTERPRISES INC,C6NAGJ5RHLK1,53RU4,"15248 State Highway 371,Brainerd, Minnesota,56401-6810, United States","15248 State HWY 371,Baxter, Minnesota,56401-6810, United States",http://www.brainerdrental.com/,"Apr 30, 2002",STEVE MAU,Connie Kaz,"Minnesota, United States",Minnesota 08,0
SMAART,SMAART POWER LLC,VZQXTY9NPQ31,8T6A7,"24301 Rhona DR,Laguna Niguel, California,92677-4034, United States","24301 Rhona DR,Laguna Niguel, California,92677-4034, United States",,"Jul 29, 2020","Sanaz Sharafkhanian, Owner","Sanaz Sharafkhanian, Owner","California, United States",California 48,0
SMAART,SMAART MANAGEMENT AND CONSULTING LLC,PXM8RBGT15N3,9R7C9,"2405 Taylor LN,Pearland, Texas,77581-5743, United States","2405 Taylor LN,Pearland, Texas,77581-5743, United States",,"Nov 2, 2023","Carolyn D Guilory guillory, CEO","Carolyn D Guilory guillory, CEO","Texas, United States",Texas 22,0
Kestrel,KESTREL CONCEPTS DESIGN STUDIO,DDWNC3VVYJ34,75CT9,"19042 Cajon BLVD,San Bernardino, California,92407-1614, United States","19042 Cajon BLVD,San Bernardino, California,92407-1614, United States",https://kestrel-concepts.com/,"Jul 18, 2013","Charles A Kassing, Mr.",Charles A. Kassing,"California, United States",California 31,0
Kestrel,PONCA CITY ART CTR.,F2EDJCXL9K79,8NZ18,"400 E Central AVE STE 500,Ponca City, Oklahoma,74601-5411, United States","400 E Central AVE STE 500,Ponca City, Oklahoma,74601-5411, United States",https://www.pcarts.org/,"Dec 7, 1953","Kestrel Tinklenberg, Grant Administrator",Terron Liles,"Oklahoma, United States",Oklahoma 03,0
Kestrel,LANGEN PACKAGING INC,DB7QV2BN2F85,L1445,"6154 Kestrel RD,Mississauga, On,L5T 1Z2, Canada","6154 Kestrel Road,Mississauga, On,L5T, Canada",,"Jan 1, 1996",Doreen Tanti,DOREEN Tanti,"(blank), Canada",Not Applicable,0
Kestrel,"GHORZANG, RONA",RKMHDB8B1GE7,4GC45,"5282 Kestrel Crossing DR,Alexandria, Virginia,22312-3988, United States","5282 Kestrel Crossing DR,Alexandria, Virginia,22312-3988, United States",,"Aug 1, 2006",RONA GHORZANG,RONA GHORZANG,"Virginia, United States",Virginia 08,0
"ScienceCast, Inc.","SCIENCECAST, INC.",E1FNRGTDK528,9DV76,"16 Willow AVE,Towson, Maryland,21286-5201, United States","16 Willow AVE,Towson, Maryland,21286-5201, United States",https://www.sciencecast.org/,"Mar 22, 2022","Andrew L Jiranek, CEO","Andrew L Jiranek, CEO","Maryland, United States",Maryland 02,0
MFC,MGH FAMILY HEALTH CENTER,YX87LXQJXXN5,30HW3,"2201 S Getty ST,Muskegon, Michigan,49444-1207, United States","2201 S Getty ST,Muskegon, Michigan,49444-1207, United States",https://mfc-health.org/,"Sep 16, 1994","Coy L Boroff, CFO","Tracy McDaniel, CEO","Michigan, United States",Michigan 03,0
MFC,MFC LAWNCARE LLC,LPY4BMNNRY38,99PX6,"1851 Emmaus RD,Zephyr, Texas,76890-3628, United States","1851 Emmaus RD,Zephyr, Texas,76890-3628, United States",https://mfc-lawncare.business.site/,"Jan 14, 2021","Jason Reiger, Manager","Jason Reiger, Manager","Texas, United States",Texas 11,0
MFC,PROBUS TEST SYSTEMS INC,XSFUZFLXLT83,1Q6X1,"2 Bridge AVE,STE 622,Red Bank, New Jersey,07701-4606, United States","716 Newman Springs RD #285,Lincroft, New Jersey,07738-1523, United States",,"Dec 11, 1997","Doug Losche, Business Operations VP",MANUEL FUENTES,"New Jersey, United States",New Jersey 06,0
MFC,MFC ROADSIDE ASSISTANCE LLC,XL74PU6GLBA1,9QM60,"7828 Day Creek BLVD,#324,Rancho Cucamonga, California,91739-8573, United States","7828 Day Creek BLVD. #324,#324,Rancho Cucamonga, California,91739-8573, United States",https://www.mfcroadsideassistance.com/,"Apr 13, 2015","Miguel Cavazos, Managing Member/CEO","Miguel Cavazos, Managing Member/CEO","California, United States",California 33,0
TeleCenter,TELECENTER,CNEGE1GCBD99,59TL5,"15340 Stillfield Court,Centreville, Virginia,20120-3738, United States","15340 Stillfield Court,Centreville, Virginia,20120-3738, United States",,"Dec 12, 2008",MARC NEWMAN,MARC NEWMAN,"Virginia, United States",Virginia 10,0
Delta Z,"DELTA Z, LLC",E6JSUCBRCSP3,(blank),"8145 Baltimore AVENUE, Suite 122,College Park, Maryland,20740, United States","8145 Baltimore AVENUE, Suite 122,College Park, Maryland,20740, United States",,"Mar 13, 2022",Ariana Joy L DeCastro,Ariana Joy L DeCastro,"Maryland, United States",Maryland 05,0
