company,businessStatus,employees,description,legalName,revenue,primaryIndustrySector,hqAddressLine1,hqLocation,companyWebsite
FullBlast STEAM,Generating Revenue,,"Developer of online educational software designed to bridge the digital divide by engaging youth. The company's software offers virtual guidance and online workshops in robotics, drones, 3D printing, artificial intelligence, and virtual reality technologies, enabling students to advance in their careers.",PELICAN FLY LLC,,Information Technology,1100 Wicomico Street,"Baltimore, MD",www.fullblaststeam.com
Future State Health Information Management Systems,Generating Revenue,,"Provider of undisclosed products and services headquartered in Gaithersburg, Maryland.",Future State Health Information Management Systems LLC,,Business Products and Services (B2B),214 Ellington Boulevard,"Gaithersburg, MD",
G4 Bikes,Generating Revenue,,"Manufacturer of recumbent bicycles intended to offer a high-performance machine that effectively integrates and engages the rider for a uniquely satisfying riding experience. The company's bicycles specialize in foot pedal crankset mounted, seated rider who use their full body to pedal and apply supplemental, and aerodynamic disk wheels, thereby enabling customers an easy to ride, accelerates, and climb like upright bikes, with speed, comfort, and safety.","Generation Four Bicycle System Engineering, LLC",,Consumer Products and Services (B2C),2507 Palmer View Drive,"Bel Air, MD",www.g4bikes.com
GlowGadget,Startup,,"Operator of a smart lighting company intended to build flexible lighting technology. The company offers smart lighting apparel potentially illuminating spaces in new and innovative ways, enabling customers to get wearable light-up devices that can be controlled by their phone.","GLOWGADGET, LLC",,Consumer Products and Services (B2C),,WA,www.glowgadget.com
GlycoT Therapeutics,Generating Revenue,,"Developer of chemoenzymatic glycosylation technology created to provide structurally well-defined, homogeneous glycoforms with unique properties. The company's technology for glycoengineering of therapeutic proteins such as monoclonal antibodies also produces enzymes, oligosaccharides, glycopeptides and other glycoprotein products as valuable research tools for disease diagnosis and the glycobiology research field, enabling clients to improve their therapeutic efficacy.",GlycoT Therapeutics LLC,,Healthcare,4991 Wild Olive CT,"College Park, MD",www.glycot.com
Graybeard Coaching,,,"Consulting firm specializing in policy, acquisition, and engineering solutions for complex problems in dynamic environments. Offers operating advice and assistance on strategic and organizational planning, business process improvement, asset management, and records management. Provides professional consulting services in engineering and scientific research and development to create new or improved products and processes.",,,Business Products and Services (B2B),10328 Mockingbird Pond Ct,"Burke, VA",grayzonesolutions.com
GUAQ,Generating Revenue,,"Manufacturer of air quality monitors intended to offer a low-cost environmental monitoring ecosystem. The company offers a hardware device, mobile application, and curated analytics to measure an array of environmental hazards, enabling individuals and enterprises to gain a better understanding of the air they breathe.",,,Information Technology,,WA,www.guaq.tech
Halo Scientific,Startup,,"Developer of surgical tracking technologies based in Towson, Maryland. The company develops products to improve efficiency and communication in hospital operating rooms, enabling surgeons to conduct surgeries safely and efficiently.",Halo Scientific LLC,,Healthcare,8686 Manahan Drive,"Towson, MD",
Healthier Forms,Startup,,"Developer of pre-screening software designed to proactively address patient safety during (magnetic resonance imaging)MRI scans. The company's platform utilizes advanced algorithms to analyze screening information and identify potential hazards from implants or metal objects, enabling imaging centers to receive real-time notifications and manage their MRI schedules accordingly, ultimately reducing scheduling disruptions and improving patient experience.","Healthier Forms, Inc.",,Healthcare,Kent,"Dover, DE",www.healthierforms.com
Hyve (Media and Information Services),Out of Business,,"Developer of an artificial intelligence-driven fleet management platform designed to streamline vehicle maintenance and insurance. The company's platform tracks every detail of fleets and provides safety management techniques eliminating vehicle management hassles for fleets across the globe, enabling clients to take control of routine maintenance, and emergency repairs and ensure safety and compliance.",,,Information Technology,11 East Loop Road,"New York, NY",www.hyve.ai
InceptEV,Generating Revenue,,"Operator of an electric vehicle data company intended for fleet operations planning and optimization. The company's platform uses proprietary data and patented technology to understand fleet performance before purchasing assets and forecast operational requirements, enabling businesses to confidently navigate the electric revolution and achieve their fleet electrification goals.","Incepts, Inc.",,Information Technology,PO Box 81752,"Pittsburgh, PA",www.inceptev.com
ItinAFairy,Generating Revenue,,"Operator of a travel planning company headquartered in Baltimore, Maryland. The company specializes in creating unique itineraries to make clients' travel experiences easy, enjoyable, and tailored to their travel personality.","ItinAFairy, LLC.",,Consumer Products and Services (B2C),822 Guilford Avenue,"Baltimore, MD",www.itinafairy.com
itutela,Out of Business,,"Developer and provider of scalable internet, security and monitoring solutions designed for the healthcare industry. The company offers unified software platforms, data analytics and cloud-based distributed systems, enabling hospitals to improve patient engagement and access while enhancing hospital's network security.","itutela, LLC",,Healthcare,101 North Haven Street,"Baltimore, MD",www.itutela.com
Jay's Watermelonade,Generating Revenue,,"Producer of fruit blends intended to hydrate the community while promoting nutritional wellness. The company offers natural juices and frozen treats made from raw fruits, vegetables, and herbs, helping customers by lowering rates of diabetes, obesity, and heart disease through nutrition education.","Jay's Watermelonade, LLC",,Consumer Products and Services (B2C),4709 Harford Road 14,"Baltimore, MD",www.jayswatermelonade.com
Kaalmi,Out of Business,,"Provider of curated mental health care packages intended to make users stress-free. The company offers a variety of products including creative engagement activities, mindfulness exercises and sensory grounding tools, enabling customers to manage their mental health through self-care practices.",Kaalmi LLC,,Consumer Products and Services (B2C),3203 Grindle Court,"Abingdon, MD",www.kaalmi.com
Karaman Language Solutions,Generating Revenue,,"Provider of foreign language services to various markets. Karaman Language Solutions offers language training, translation, interpreting, localization, and eLearning design. Their services include in-person and online language training, proficiency testing, document translation, audio/video translation, on-site, phone, video simultaneous, and consecutive interpreting. They serve international law firms, corporations, organizations, non-profits, and local, state, and federal United States government agencies. Additionally, they offer online language and culture courses and customized private or small group classes on a full-time and part-time basis via live virtual, in-person, and hybrid classrooms.",,,Information Technology,,"Alexandria, VA",karamandc.com
kloudtrack,Startup,,"Developer of a platform designed to address international, federal, state and industry-imposed regulatory compliance standards. The company's platform offers governance, risk and compliance technologies and solutions for business processes, data management, and human interaction workflow and integrates best-practice management with audit trails that place a premium on monitoring users, data, transparency, and collaborative processes, enabling clients to address regulatory compliance standards issues effectively.",,,Information Technology,6010 Executive Boulevard,"Rockville, MD",www.kloudtrack.com
Knope,Generating Revenue,,"Developer of a drink spiking prevention platform intended to offer products to detect the presence of rape-drug in any drink. The company's platform offers napkins and drink covers to facilitate easy testing for rape drugs by placing a few drops of the drink on a designated part of the napkin or the cover, enabling users to be safe and avoid being drugged.","KnoNap, LLC.",,Consumer Products and Services (B2C),3400 Prospect Street North West,"Washington, DC",www.knonap.com
LifeGene BioMarks,Generating Revenue,,"Operator of an in-vitro diagnostic platform intended for the prevention of cervical cancer. The company offers qPCR and NGS-based HPV-Trans Renal DNA assays that quantify high-risk HPV and detects cervical cancer, enabling patients to get prevention against cervical cancer at a low cost.","LifeGene-Biomarks, Inc.",,Healthcare,1812 Ashland Avenue,"Baltimore, MD",www.lifegenedna.com
Liquid-Charge,Out of Business,,"Manufacture of mobile solid oxide fuel cell (SOFC) range extender battery designed to retain liquid carbon dioxide for sequestration. The company's small SOFCs produce electricity to sustain a minimum battery charge as a range-extender for battery-electric cars creating a more sustainable means of transport, enabling customers to adopt emission-free transport.",Solid Ox Motors Inc.,,Consumer Products and Services (B2C),1875 Connecticut Avenue Northwest,"Washington, DC",liquid-charge.com
Luvozo Pbc,Out of Business,,"Developer of robotic technology solutions intended for service industries. The company's technology offers concierge robots that help assisted living facilities' residents and staff with patent-pending fall hazard detection, notifications, as well as routine live video check-ins with residents to prevent overburdening staff, improving quality of life for older adults and persons with disabilities.",,,Consumer Products and Services (B2C),4467 Technology Drive,"College Park, MD",www.luvozo.com
Mabely Q,,,"Operator of an accessibility education and speaking company, offering an accessibility audit, speaking and workshops, a biz accessibility shop, and membership to their platform Successible. The entity's services are designed to meet the unique needs of businesses, including customized training programs.",,,Business Products and Services (B2B),,"Silver Spring, MD",mabelyq.com
Magnify Biosciences,Generating Revenue,,"Manufacturer of microscopy products intended for imaging of biological samples with resolution beyond the diffraction limit of light. The company's product allows for nanoscale imaging of biological structures by physically expanding the tissue or sample, enabling researchers to conduct high-resolution, multiplexed, and efficient imaging of complex biological structures.",Magnify Biosciences Inc.,,Healthcare,,"Pittsburgh, PA",www.magnifybiosci.com
MARS Technology,Generating Revenue,,"Developer of an auto thermal compact catalytic wall reactor designed to convert methane into valuable chemicals selectively with zero greenhouse gas emission. The company offers an energy-efficient process, scalable modular design, and low-cost reactor/catalyst, enabling small-quantity methane generators in energy, waste management, and bioenergy industries to mitigate greenhouse gases economically.",MARS Technology LLC,,Materials and Resources,,"College Park, MD",www.marstechnology.info
MesaGreen Pharmaeuticals,Generating Revenue,,"Provider of a pharmaceutical solution designed to rescue canines from breakthrough seizures. The company's virtual animal health pharmaceutical solution develop advanced and affordable solutions for veterinarians and pet owners to address the unmet medical needs of animal family members, providing reduced overhead expenses and the flexibility to choose the most suitable resources and contractors available to pet owners.",MesaGreen Pharmaceutical Co.,,Healthcare,4539 Metropolitan Court,"Frederick, MD",www.mesagreenpharma.com
MileMarker,Generating Revenue,,"Developer of a web-based assessment platform intended to help drive efficiencies in medical training. The company's application offers an on-the-job real-time assessment for surgeons to help university residency programs save critical faculty time and improve medical training by shortening the feedback loop and meeting the new goals of quantitative, competency-based education, enabling committees to view trainee progress relative to average ratings of their peers.","EduMD, LLC",,Information Technology,"1812 Ashland Avenue, 1st Floor","Baltimore, MD",www.milemarker.me
NanoDirect,Generating Revenue,,"Operator of a materials science company using proprietary separation technologies to manufacture high-purity nanoparticles and silver nanowire inks. The company has developed a proprietary technique that has nanoparticle processing and purification, materials characterization and analysis, and printed electronics, enabling a new generation of flexible electronics by providing scalable manufacturing of highly refined nanoelectronic inks.",NanoDirect LLC,,Materials and Resources,1100 Wicomico Street,"Baltimore, MD",www.nanodirect.com
Natural Numerix,Out of Business,,Provider of information technology services in the United States. The company's services are primarily based on universal access to advanced technology and data science.,"Natural Numerix, Inc.",,Information Technology,25 Broadway,"New York, NY",www.naturalnumerix.com
Nervosys,,,"The company primarily operates in the Computers, Parts and Peripherals industry. Nervosys is headquartered in College Park, MD.",,,Information Technology,,"College Park, MD",nervosys.ai
NetGlo Corporation,,,"Provider of IT solutions for the food production industry, specializing in process management, product recall, inventory management, and data analysis. NetGlo offers customization, back-office support, and a farmer's helper app, with a focus on reducing waste and increasing efficiency. The company's objective is to provide quick payback and cost reduction for their clients.",,,Information Technology,,"Highland, MD",netglo.com
Neurgain Technologies,Generating Revenue,,"Developer of a drug delivery system intended to provide neurology therapeutics for the treatment of neurodegenerative diseases and neuropathic pain. The company focuses on the out-licensing of animal-proven spinal cord delivery technology and product development to a regulatory filing of gene therapy for neuropathic pain and chronic spasticity, enabling company partners to have access to use out-licensing as means to engage and co-develop.","Neurgain Technologies, Inc.",,Healthcare,8601 Via Mallorca UNIT C,"La Jolla, CA",www.neurgaintech.com
NextGlass (Commercial Products),Startup,,"Manufacturer of glass window intended to provide next-generation vacuum-insulated glass. The company develop affordable, highly insulating, vacuum-insulated glass windows that could cut energy loss by a factor of four or more, compared to current double-pane windows, enabling to give customers efficient glass window for their use.","NextGlass, LLC",,Business Products and Services (B2B),259 Congressional Lane,"Rockville, MD",
Nostopharma,Pre-Clinical Trials,,"Operator of a pathologic bone growth treatment company intended to prevent rare bone disease to reduce complications due to traumatic injuries and societal costs associated with rehabilitation among surgery patients. The company offers a nanoparticle drug delivery system for the treatment of soft tissue trauma complications and assists patients in forming new bone following surgeries, burns, injuries, and other traumas, enabling healthcare providers to improve the clinical outcomes of surgical procedures for patients with post-traumatic injuries.",Nostopharma LLC,,Healthcare,,"Bethesda, MD",www.nostopharma.com
NuroSTREAM,Out of Business,,"Operator of an online learning platform intended to provide neuroscience education. The company's platform uses neuroscience-based tools to help facilitate learning, enabling students to streamline the education experience to increase retention and improve depth of understanding.",Nurostream LLC,,Information Technology,2518 Van Munching Hall,"College Park, MD",www.nurostream.com
Nurse Lynx,Generating Revenue,,"Provider of home care and staffing services intended to improve patient outcomes through evidence-based prevention strategies and promoting health equity. The company offers services including companion care, wound care, meal preparations, medication management, personal care, grooming, and more, enabling clients to enhance their quality of life and various types of healthcare services.",Nurse Lynx Inc,,Healthcare,909 Baltimore Boulevard,"Westminster, MD",www.nurselynx.com
Operational Precision Systems,Out of Business,,"Developer of an environmental monitoring equipment designed to test water samples against mandated regulatory standards. The company's equipment assists drinking water infrastructure systems to help reduce violations, enabling water operators to invest in their infrastructure instead of paying violation restitution costs.",Operational Precision Systems LLC,,Information Technology,Bennett Road,"Salisbury, MD",www.o-p-s.net
OraBiotech,Startup,,"Developer of a speech improving device designed for people suffering from craniofacial disorders. The company's intraoral wireless device provides positive reinforcement and motivation for at-home speech therapy, enabling patients to improve their speech.","OraBiotech, LLC",,Healthcare,24 Oak Drive,"Durham, NC",
OtherWordly,Generating Revenue,,"Developer of an online video game intended for children to play word games. The company's platform offers a word puzzler based on word meanings, enabling children to find suitable words and enhance their knowledge.",OtherWordly LLC,,Information Technology,7804 Garland Avenue,"Takoma Park, MD",www.otherwordly.com
PathoDynamics,Startup,,"Developer of precision oncology reporting technology intended to help oncologists select the right drug based on the patient's genetic profile. The company utilizes artificial intelligence and molecular simulation to be able to accurately predict the functional effects of genetic variants with better accuracy, enabling healthcare professionals to treat patients efficiently.","PathoDynamics, LLC",,Healthcare,10300 Eaton Place,"Fairfax, VA",www.pathodynamics.com
Peatland Technologies,Generating Revenue,,"Provider of environmental services intended to create sustainable energy by tapping the planet's most underutilized resource: microbes. The company facilitates work in boreal peatlands in the Atlantic periphery, thereby expanding to tropical peatlands by fighting the impending climate crisis while simultaneously meeting ever-increasing human energy demands sustainably.",Peatland Technologies LLC,,Business Products and Services (B2B),4337 Clagett Road,"University Park, MD",www.peatland-technologies.com
Pendulum Analytics,Generating Revenue,,"Operator of an analytics technology company intended for decision-making support. The company offers information synthesized from data that can result in a more optimized business operation or project, enabling organizations to identify and analyze potential events that may negatively impact individuals, assets, or the ecosystem.","Pendulum Analytics, Inc.",,Information Technology,9658 Baltimore Avenue,"College Park, MD",www.pendanalytics.com
Perform Ab,Stealth,,Developer of a technology to screen antibodies on the surface of yeast cells against mammalian cells. The company is currently operating under stealth mode.,,,Healthcare,,"Baltimore, MD",
PFF (Consulting Services),Generating Revenue,,"Provider of consulting services headquarted in Lanham, Maryland. The company focuses on the end goal while producing new ideas and developing or refining strategies that lead to quality and scalable solutions.","PFF, LLC",,Business Products and Services (B2B),7811 Hubble drive,"Lanham, MD",www.processforthefuture.com
Precision Wellness,Generating Revenue,,"Developer of a mobile and technology-based healthcare program intended to help people experience precision medicine. The company's solution through health education aims to deliver personalized prevention plans, by offering services such as drug testing, employee wellness wellness goals sessions, nutrition coaching, in-home lab testing, and more.","S.O.S.A.B., LLC.",,Healthcare,700 Pennsylvania Avenue SouthEast,"Washington, DC",www.precisionwellbeing.net
PrecNA,Startup,,"Manufacturer of equipment intended for producing customized lipid nanoparticle formulations. The company's product leverages microfluidic continuous flow processes and microfluidic cartridge designs, enabling researchers to develop new drugs.",PrecNA LLC,,Healthcare,,WA,www.precna.com
Primavera Biosciences,Generating Revenue,,"Operator of a biotechnology company intended for pharmaceutical drug development. The company offers herbal drugs for weight loss, cold and flu, jet lag and sleep apnea disorder, enabling patients to get herbal medicines for health and wellness.","Primavera biosciences, Inc.",,Healthcare,735 Watkins Mill Road,"Gaithersburg, MD",www.primaverabiosci.com
PZA Innovation,Startup,,"Operator of a biotechnology company intended to develop a first-line tuberculosis drug. The company develops a reliable pyrazinamide (PZA) susceptibility testing method using reverse engineering to find out the conditions under which pyrazinamide is active in vitro and acts on the living environment of mycobacterium tuberculosis in the host, enabling healthcare professionals to provide the next-generation PZA to patients to shorten tuberculosis treatment more even.",PZA Innovation LLC,,Healthcare,"2401 West Belvedere Avenue, Schapiro Building","Baltimore, MD",www.pzainnovation.com
Quantum Leaf Solutions,Generating Revenue,,"Developer of all-in-one cannabis business management platform designed to remove the need for multiple software platforms and spreadsheets. The company's platform manages the entire grow operation from one place, at any time and save time and resources as the business scales and grows, thereby developing a platform that is the perfect fit for cannabis businesses looking to unlock their true potential sooner than later.",Quantum Leaf Solutions LLC,,Information Technology,10100 West Sample Road,"Coral Springs, FL",www.quantumleafsolutions.com
Quaxys,Generating Revenue,,"Operator of a training platform intended to train the future generation of engineers in quantum computing, microwave and RF engineering, radio astronomy, and microwave plasma technology. The company's platform aims to teach essential practical skills to develop cutting-edge technologies in today's fast-paced competitive industries and research sectors, enabling researchers and professionals to have proper knowledge about various hardware skills.",Quaxys Ltd,,Consumer Products and Services (B2C),278 Cedar Lane SouthEast,"Vienna, VA",quaxys.com
Raven Biomaterials,Generating Revenue,,"Provider of biotechnology research services. The company offers patient monitoring, gene therapy, antibody production, blood banking, vaccine manufacturing, scientific research and other related services.","Raven Biomaterials, LLC",0.03,Healthcare,29 Baldwin Street,"Pennington, NJ",
RELAI (Software Development Applications),Startup,,"Provider of software as a service based in College Park, Maryland. The company improves model reliability by reducing overfitting, increasing statistical significance, and minimizing the influence of noise and outliers, enabling AI developers and users to assess and improve the reliability of models and datasets.",,,Information Technology,,"College Park, MD",www.relai.ai
Reversal Therapeutics,Pre-Clinical Trials,,"Operator of a biotechnology company intended to offer reverse drug overdose therapeutics services. The company is focused on commercializing a proprietary molecule that can reverse drug overdoses from 10 drugs of abuse including fentanyl and methamphetamine, enabling drug patients to get relief from deadly drug addiction.",Reversal Therapeutics Inc,,Healthcare,137 National Plaza,"National Harbor, MD",www.reversaltherapeutics.com
Runmic,Startup,,"Developer of an insights platform designed for sales calls. The company's platform analyzes and interprets sales calls, meeting and other conversations to provide insights, metrics and actionable data with features such as call assist in real-time, meeting notes, playbook precision and privacy first, enabling clients to remember important things and make sale easy.","Runmic, Inc.",,Information Technology,"4315 50th Street North West, Suite 100","Washington, DC",www.runmic.com
Sanchez Engineering Services,Generating Revenue,,"Developer of engineering solutions based in Alexandria Virginia. The company provides math to modeling system performance, combines sensors that capitalize on unique advantages and synthesizes data for more accurate assessments, streamline processes and reduce processor load bringing workhorse applications to hand-held devices and optical designing for data collection from the photos taken. The company also offers image quality and drone dimension assessment software.",,,Business Products and Services (B2B),100 South Iria Street,"Alexandria, VA",www.sanchezeng.com
Scaled Microbiomics,Generating Revenue,,"Developer of microbiome immunotherapy intended to lead the way in disease interception. The company's innovative approach combines an understood regulatory pathway (antibodies) with an exciting new understanding of microbiome manipulation to rapidly develop diagnostic and therapeutic interventions, providing the healthcare industry with innovative therapeutics across a broad spectrum of disease states.","Scaled Microbiomics, LLC",0.09,Healthcare,20140 Scholar Drive,"Hagerstown, MD",www.scaledmicrobiomics.com
SeeHear,Product Development,,"Developer and provider of a training platform designed for people to improve lipreading skills. The company offers web-based perception training tools and testing methods, helping people improve their ability to understand speech in noisy environments.",SeeHear LLC,,Healthcare,2500 Clarendon Boulevard,"Arlington, VA",www.seehear.us
Slip Signal Technologies,Generating Revenue,,"Operator of a semiconductor design and consulting startup company intended to improve the performance of digital logic circuits. The company aims to revolutionize digital logic by developing technology that natively reduces self-generated electromagnetic emission from digital logic processes, thereby giving semiconductor engineers and device manufacturers innovative room by streamlining technical development, and saving time and money, enabling businesses overcome electromagnetic compatibility (EMC) test failures.","Slip Signal Technologies, LLC",,Business Products and Services (B2B),2211 Street Josephs Drive,"Bowie, MD",www.slipsignal.com
SmartBridge Health,Generating Revenue,,"Provider of care management services intended for medical guidance to treat cancer. The company specializes in navigating the often-complex process of researching and enrolling in the right clinical trial, talking with oncologists, and receiving suggestions and personalized recommendations, enabling patients and their families to stay connected with cancer specialists and affordable and optimal cancer care.",SmartBridge Inc.,,Healthcare,3400 Prospect Street North West,"Washington, DC",www.smartbridgehealth.com
SoHive,Product In Beta Test,,"Developer of a business video chat platform intended to facilitate communication, collaboration, and connection. The company's platform offers two-way video and audio communication that allows users to connect with people from around the world who share similar interests, it provides businesses their own virtual room to engage customers instantly through two-way, drop-in video and also eliminates the need for invitations or contact information, enabling users to spontaneously connect with people for meaningful interactions.","SoHive, LLC",,Information Technology,Gum Spring Road,"Brunswick, MD",www.sohive.com
Southern Maryland Dietitian,,,"Operator of nutrition and medical therapy services catering to children and adults in Southern Maryland. Specializing in food sensitivities, special diets, medical issues, tube feeding, fitness and sports, healthy eating, diabetes, and testing and treatment services for food sensitivities, micronutrients, and genetics. All consultations are virtual visits at present.",,,Healthcare,"4560 Crain Hwy, Suite 11","White Plains, MD",southernmarylanddietitian.com
Stacksdata,Generating Revenue,,"Developer of a data management platform designed for compliance relationships. The company develops software that allows users to collect, send and manage data, enabling businesses to quickly and painlessly respond to customers' data requests.",PeerAspect LLC,,Information Technology,3000 Chestnut Avenue,"Baltimore, MD",welcome.stacksdata.com
Staff U,,,"The company primarily operates in the Human Capital Services industry. Staff U was founded in 2015 and is headquartered in Washington, DC.",,,Business Products and Services (B2B),"1875 Connecticut Ave, 10th Floor","Washington, DC",staffu.co
StoCastic,Generating Revenue,,"Developer of a healthcare enterprise software intended to provide value for patients and healthcare systems. The company's software uses consulting bundles that target improvements in operational performance, clinical workflow, teamwork, and organizational best practices, enabling clients to provide customers with smoother and more affordable care.","StoCastic, LLC",,Healthcare,7400 York Road,"Towson, MD",www.stocastic.com
Strategic Soft Skills Institute,Generating Revenue,,"Provider of soft skill training services catering to corporates. The company offers in-company and public including topics on human interaction, emotional and social intelligence, positive positional power, sounding board and mental agility in over 15 languages, enabling employees to build their emotional and social intelligence.",Situation Management Systems Inc.,,Business Products and Services (B2B),339 Nashua Street,"Milford, NH",www.strategicsoftskillsinstitute.com
Studio 60 Technologies,Generating Revenue,,"Developer of a personal geographic information system navigation assistant for people with disabilities. The company's platform uses natural language processing, machine learning, and decision-support systems to collect navigational data and provide users with up-to-the-minute routing instructions.","Studio 60 Technologies, LLC",,Healthcare,1501 Dogwood Road,MD,www.studio60tech.com
Symbiont Health,Generating Revenue,,"Developer of a fall detection technology designed to tackle the issue of unconscious elderly falls. The company's technology detects falls and alerts loved ones and emergency medical services reducing the waiting time for rescue and showing vital signs, medication information, and patient behavior statistics, enabling physicians to respond quickly, and effectively and save lives.",Emergency Detection Systems LLC,0.01,Healthcare,9701 Culver Street,"Kensington, MD",www.symbionthealth.com
Syzygy Optics,Generating Revenue,,"Manufacturer of diffraction gratings intended for astronomy. The company's products include sample gratings, validation, design studies and science gratings, along with services including grating design services, spectrograph design consulting and fabrication of custom monolithic gratings, enabling customers by offering modelling and design services, design review support and custom gratings.","Syzygy Optics, LLC",,Business Products and Services (B2B),P.O. Box 211,"Chapel Hill, NC",www.syzygyoptics.com
Tauros Engineering,Out of Business,,"Developer of computational modeling tools designed for the detection of bridge scour. The company's computational modeling tools are used for the detection and monitoring of bridge scour caused by hydraulic forces, erosion, and deposition processes, enabling civic authorities to have prior warnings about weak structures.","Tauros Engineering, LLC",,Information Technology,9124 Falls Chapel Way,"Potomac, MD",taurusengineering.com
TBT Pharma,Clinical Trials - Phase 2,,"Developer of pathogens-based therapies designed to help benefit the lives of patients afflicted by psoriasis and other similar diseases. The company's therapies can be used to treat multiple skin conditions and provide topical applications for treating problematic skin conditions, enabling healthcare specialists to treat patients suffering from various diseases and other inflammatory skin conditions to overcome their debilitating disorders.","TBT Pharma, Inc.",,Healthcare,708 South Hanover Street,"Baltimore, MD",www.tbtpharma.com
Telliscope,Generating Revenue,,"Developer of an AI-enabled business intelligence platform intended to help businesses make feasible decisions. The company's AI-powered market intelligence and business relationships management platform provides executives with insights for go-to-market strategies in emerging markets, enabling its clients to connect, share resources, and grow their businesses.",E-Pulse LLC,,Business Products and Services (B2B),,"Washington, DC",www.telliscope.com
Tema Innovations,Generating Revenue,,"Provider of personalized dosages of liquid medication services based in Rockville, Maryland.",Tema LLC,,Business Products and Services (B2B),1720 Wilmart Street,"Rockville, MD",www.temainnovations.com
Tetra Fields,Generating Revenue,,"Provider of healthcare information technology services intended to provide synergistic solutions to public sector clients in healthcare. The company offers various services such as application development, process engineering, data science, research, health science, and many more.",Tetra Fields LLC,,Healthcare,13308 Arctic Avenue,"Rockville, MD",www.tetrafields.com
The Bowie Sun,,,"Operator of a local news website providing coverage of news, events, and classifieds in the Bowie, Maryland area. The site focuses on local politics, community events, and profiles of local individuals. The entity is locally owned and adheres to the Society of Professional Journalists' Code of Ethics. Additionally, they partner with academic institutions to offer opportunities for student reporters. The entity is seeking funding to expand their team of editors and neighborhood reporters.",,,Consumer Products and Services (B2C),P.O. Box 364,"Bowie, MD",bowiesun.com
The Extraordinary Library Adventure,Generating Revenue,,"Operator of a media company intended to produce edutainment to empower children. The company offers stories of untold history, educational content, history and science content, children's book, young adult novel and adult fantasy novel, empowering kids to explore their interests in science, technology, engineering, and math.","The Extraordinary Library Adventure, LLC",,Consumer Products and Services (B2C),3723 Eight Penny Lane,"Bowie, MD",www.extraordinarylibrary.com
TIME Systems,Generating Revenue,,"Provider of technology, management, and engineering solutions and services catering to the Department of Defense, other government agencies, and corporate and nonprofit sectors. The company offers a range of services such as technology impact assessments, secure web development, IT management services, project management, organizational change and process engineering, software quality assurance, and more.","TIME Systems, LLC",3.30,Information Technology,17932 Fraley Boulevard,"Dumfries, VA",www.timesystemsllc.com
Tomorrow's Bio Today,Startup,,"Developer of a portable medical device intended to help healthcare professionals to diagnose early-stage colorectal cancer. The company offers an adjustable tablet camera system that can be ingested by large animals like cows and horses to capture images of their internal organs, enabling medical practitioners to enhance endoscopy methods, making it safer, faster, and more affordable for veterinarians and farmers.",,,Healthcare,,"Princess Anne, MD",www.tomorrowsbiotoday.com
Trench Therapeutics,Startup,,"Operator of a biotech research platform intended to provide biotherapeutic products. The company researches the nasal microbiome to discover antibiotic products, providing medical companies with the prevention and treatment of infectious and inflammatory diseases.","Trench Therapeutics, Inc.",,Healthcare,16 Aliso Way,"Portola Valley, CA",www.trenchtx.com
Tri-IT Solutions,Generating Revenue,,"Operator of a business consulting company intended to help companies connect with trusted resources. The company is a matchmaker with a background in information technology development, and has years of experience working with government contractors and private businesses, helping to meet information technology staffing needs.","Tri-IT Solutions, LLC",,Information Technology,Post Office BOX 283 Woodstock,"Woodstock, MD",www.tri-itsolutions.com
TuneURL,,,"Developer of interactive audio technology with real-time engagement metrics. TuneURL's services seamlessly integrate with radio broadcasts, podcasts, and videos to provide measurable audience engagement data.",,,Information Technology,,"Bethesda, MD",tuneurl.com
UCleaner,Generating Revenue,,"Developer of dental cleaning devices designed for improved oral hygiene. The company utilizes a full-mouth design with integrated cleaning elements to remove plaque and debris from all tooth surfaces simultaneously, incorporating features such as automated brushing motions, timed cleaning cycles, and potentially including rinsing or irrigating functions, enabling individuals seeking a streamlined oral care routine to achieve comprehensive washing in a shorter time frame.",UCleaner L.L.C.,,Healthcare,6751 Columbia Gateway Drive,"Columbia, MD",www.ucleaner.shop
UNITIO,,,"Developer of a patient research platform and community, specializing in type 1 diabetes research and patient care. T1D Exchange connects patients, physicians, researchers, and industry to accelerate therapies and improve patient outcomes. The organization is part of Unitio, a nonprofit connecting healthcare professionals and patients to accelerate medical discoveries.","UNITIO, INC.",,Healthcare,11 AVENUE DE LAFAYETTE,"Boston, MA",unitio.org
Vetta Solutions,Stealth,,The company is currently operating in stealth mode.,,,Business Products and Services (B2B),,"Alexandria, VA",www.vettasolutions.com
Vortex Space Systems,Stealth,,The company is currently operating in Stealth mode.,"Vortex Space Systems, LLC",,Business Products and Services (B2B),24225 Welsh Road,"Gaithersburg, MD",
Walktime Books,Generating Revenue,,"Publisher of children's books and public health education resources intended for families and educators. The company specializes in centering meaningful dialogue on brain health, active living, and neighborhood place attachment themes, thereby enabling customers to translate public health science into inclusive and accessible language instead of jargon exclusive to an academic discipline or professional practice.",Walktime Books LLC,,Consumer Products and Services (B2C),15902 Atlantis Drive,"Bowie, MD",www.walktimebooks.com
